Customer_ID,Date,Category,Merchant_Name,Amount,Gender,Birthdate,City
b7805aa99962d1f,2025-05-08,,MediaMarkt,35.62,M,1989-05-19,Madrid
75298dad9c7320d,2025-11-19,Hogar,IKEA,687.86,M,1978-01-12,Salamanca
ea9ab315276a75f,2025-07-17,Transporte,Uber,46.52,M,1971-04-01,Castellón
c8ad8561ceab8d9,2025-05-04,Burger King,Restauración,87.12,NB,1965-02-20,Cuenca
2082454abcddef5,2025-08-06,Transporte,Uber,89.84,NB,1985-09-05,Burgos
a940409f31b5215,08/01/2025,Alimentación,Aldi,115.95,NB,1979-11-14,Toledo
cfef2f632d4500b,2025-02-22,Gasolineras,Plenoil,27.14,M,1966-07-10,Sevilla
6dc141dc16c3762,2025-04-08,Hogar,Amazon,84.73,F,1950-01-21,Granada
604184d8b058427,2025-04-10,Starbucks,Restauración,85.43,NB,1987-03-19,Palencia
0fbe3468c2f42a8,2025-10-21,,Farmacia,80.1,F,1987-08-04,Palencia
28b62655f804926,2025-10-10,Lidl,Alimentación,68.48,NB,2007-09-16,Córdoba
673769bf861cba5,2025-10-06,Transporte,Metro Madrid S.L.,54.64,M,2001-11-03,Cantabria
a86e3c4ccd38123,2025-12-07,Restauración,Vips,21.23,F,1982-06-21,Segovia
f0d651ddfdf5176,2025-06-25,Ocio,Museo,27.02,F,2007-02-15,Zaragoza
f93c7fcf0b130e7,2025-02-26,Hogar,IKEA,214.81,M,1961-01-30,Ávila
b9fa040b733ea30,2025-04-14,Gasolineras,Repsol,75.57,NB,1962-09-17,Sevilla
33b58f1e23f3e10,2025-11-12,Hogar,PcComponentes,59.14,M,1972-12-08,Madrid
198c0e38fbb880f,2025-05-14,,Burger King,81.75,F,1988-12-25,Segovia
20ebcdc206e60d7,2025-04-02,Salud,MiFarma,86.7,F,1960-03-19,Álava
c73873ebdc70d7b,2025-04-20,Salud,Adeslas,30.91,F,1950-07-06,Baleares
2df99adce2e79cc,2025-11-05,Restauración,Rodilla,27.14,M,1976-10-20,Segovia
a1a22308f8c1d39,2024-12-29,Salud,Dentista,61.1,M,1982-11-30,Toledo
dfc6b148abec2ec,2025-02-02,,Metro Madrid,12.69,NB,1976-01-28,Tarragona
825cd178fe1ef76,2025-01-09,Gasolineras,Galp,21.97,M,2006-05-11,Asturias
5e30c532a6e195c,2025-07-22,Alimentación,Mercadona,114.07,M,1994-12-20,Segovia
0ac80c7383b9f67,2025-03-24,Restauración,Burger King,38.8,M,1956-05-25,Salamanca
b61b35b9081d89e,2025-03-04,Moda,El Corte Inglés,80.09,M,1969-03-28,La Coruña
5e4cf8de6f47360,2025-11-18,Salud,Adeslas,28.77,NB,1993-08-26,Jaén
8fbadef93279ec2,2025-02-08,Alimentación, Aldi ,99.18,M,2002-05-13,Las Palmas
ac1f0d1c9397efe,2025-12-13,Gasolineras,Galp,79.65,NB,1966-11-04,Salamanca
e06c5faf31f793f,2025-12-01,Alimentación,Frutería de Barrio,161.08,NB,2007-09-09,La Coruña
1081493aaf26c96,12/06/2025,Hogar,ikea,170.88,F,1997-11-20,Ceuta
8bf587ee974503a,2025-07-21,,PcComponentes,27.11,F,2005-03-13,Toledo
c6cf9935ec35c7a,2025-06-26,Transporte,UBER,36.81,M,1970-11-10,Cáceres
210abcb14dd24c5,2025-05-20,Hogar, IKEA ,202.64,F,2007-02-28,Córdoba
6cf0e583c5c99a0,2025-06-09,Gasolineras,Gasolinera LowCost,52.61,M,1993-03-16,Ourense
4b703660abc713d,2025-05-20,Transporte,Alsa,16.08,F,1991-12-04,Palencia
b626e76380f80bf,2025-02-04,Moda,El Corte Inglés,80.68,NB,1962-11-10,Albacete
1c4d5285d5db0bd,2025-11-09,Gasolineras,BALLENOIL,74.54,F,1983-11-25,Ceuta
01a120703930e52,05/11/2025,Hogar,PcComponentes,74.84,F,1979-06-12,Soria
4548f2fd0feb14e,2025-01-27,Moda,Modas Paqui,71.13,M,1981-06-30,Cuenca
49bc6810c9cae36,2025-01-23,Hogar,IKEA,369.29,F,2001-01-04,Vizcaya
4e7e358781d77bc,2025-10-02,Hogar,Leroy Merlin,31.14,F,1976-05-07,Zaragoza
2b4360d8aa7fc48,2025-04-07,Transporte,Iberia,185.0,F,2000-04-11,Melilla
f1d660a5dc292f5,2025-04-17,Gasolineras,Cepsa,56.11,NB,1959-12-19,Ourense
5a86451709b3e1a,2025-03-12,Moda,mango,82.92,M,1962-05-25,Lugo
8897f787f24a5c5,2025-06-09,Moda,Stradivarius,82.98,M,1999-10-30,Castellón
4bd28c1b4b9c67b,15/05/2025,Gasolineras,Ballenoil,51.98,NB,1985-03-28,Ceuta
7c3282532bd9d69,2025-05-15,Moda,Modas Paqui,54.93,F,2007-10-15,Vizcaya
0b063d0ec41f9d3,2024-12-23,Ocio,Cinesa,27.17,NB,2005-03-22,Ourense
07034d0f8426e9f,2025-05-27,Ocio,Netflix,78.43,M,2004-02-09,Las Palmas
0c0a0248952ff0a,2025-06-04,Gasolineras, Cepsa ,60.83,NB,1957-09-09,Santa Cruz de Tenerife
fa839bbf2739048,2025-11-13,Alimentación,Supermercado Local,81.21,F,1956-08-01,Lugo
cd525470137cbd2,2025-05-28,Salud,Farmacia,81.27,NB,1973-09-03,Castellón
f890b18ff298db6,2025-08-20,Alimentación,DIA,17.96,F,1977-10-10,Vizcaya
e4b11a4d4c0de50,2025-05-26,Transporte,Iberia,126.86,M,1957-03-06,Segovia
76b46d08bd251d2,2025-01-09,Salud,Farmacia,16.14,NB,1998-02-23,Cuenca
39dea21108ac672,2025-09-19,Alimentación,Eroski,101.87,NB,1981-06-26,Melilla
84827ff88e8d37d,2025-10-25,Transporte,Ryanair,61.64,F,1967-01-23,Almería
0f3299cdcc9e54d,2025-12-13,Restauración,McDonalds,9.89,NB,1988-08-23,Santa Cruz de Tenerife
b817f8095ad11bd,2025-06-11,Transporte,Metro Madrid,49.07,NB,1956-08-25,Valencia
edf032022815c0f,2025-01-01,Gasolineras,Plenoil,57.62,NB,1965-12-17,Huesca
49ac8cd0b667bf6,2025-04-13,Alimentación,Supermercado Local,78.59,F,1985-01-29,Cuenca
7f87e30bffb4744,2025-09-26,Alimentación, Mercadona ,131.17,F,2005-08-02,Ávila
47a65ea10eae6b9,2025-07-27,Alimentación,hipercor,132.74,NB,1977-06-15,Valladolid
b1c3bb5147d16a0,2025-03-29,,EMT,79.31,M,1973-04-03,Granada
1112cc2f0adc259,2025-11-30,,Lidl,42.84,F,1964-01-17,Cádiz
21731492f68d028,2025-12-14,Alimentación,Supermercado Local,46.84,NB,1950-05-30,Vizcaya
fdb476c834996f3,2025-12-07,Ocio,Cinesa,23.91,NB,1995-01-28,Jaén
3f960f57c6671d6,2025-10-31,Moda,El Corte Inglés,67.72,M,1991-04-01,Las Palmas
70d2bb059efa1d9,2025-07-02,Gasolineras,ballenoil,23.21,F,2005-07-06,Melilla
74cf128471f0e01,2025-09-17,Alimentación,Hipercor,82.66,M,1990-11-26,Badajoz
0aa3268bf06b328,2025-04-08,Transporte,Taxi,43.94,F,1959-01-12,Burgos
5052b78436f29d4,2025-11-14,,Mango,46.09,NB,1980-10-14,Pontevedra
68251903a14e77a,2025-11-13,Ryanair,Transporte,12.51,NB,1984-01-18,Castellón
192ba88aaa18309,2025-09-21,Ocio,Museo,49.33,NB,1966-10-23,Jaén
e03f165d0ba9040,2025-11-23,Gasolineras,shell,41.42,NB,1977-10-17,Melilla
a827f17a73faf53,2025-11-16,,RYANAIR,79.52,M,1979-12-24,Huesca
3a5d5755ce17e4e,2025-08-01,Salud,Farmacia,46.17,F,1988-10-23,La Rioja
58052662f5dcdd6,2025-04-17,Transporte,Uber,24.09,F,1957-04-03,Barcelona
543b9490fbbfcce,2025-03-24,Supermercado Local,Alimentación,35.19,NB,1997-02-24,Ourense
61f5017604c75d2,2024-12-26,Hogar,MediaMarkt,78.29,F,1966-02-01,Las Palmas
781eeb48cacb251,2025-10-11,Hogar,PcComponentes,36.1,F,1979-09-11,Barcelona
e35dce9714a5243,2025-03-11,Alimentación,Dia,60.13,NB,1988-06-13,Pontevedra
66aafccd54065c8,04/10/2025,Aldi,Alimentación,157.71,M,1972-06-16,Toledo
91f3393ce2292fd,2025-04-23,Cepsa,Gasolineras,53.16,NB,1989-02-12,Navarra
d2e8faf88de1cfb,2025-08-30,Restauración,McDonalds,68.45,NB,1983-08-06,Cáceres
97b0ca5e8e6f590,2025-05-27,Salud,Sanitas,58.75,NB,1979-04-02,Vizcaya
42c92c554c2a231,2025-10-05,Restauración, Burger King ,5.74,M,2002-10-23,Albacete
14530ba3651c34c,2025-06-04,Transporte,EMT,24.98,M,1957-01-21,Almería
03a5d56212f01f9,2025-09-21,Moda,Stradivarius,27.93,NB,1985-06-19,Las Palmas
1245e6160a0aafa,2025-09-10,Gasolineras,Plenoil,16.3,F,2004-03-24,Vizcaya
45c7ccf72731cbc,2025-08-31,Gasolineras,Gasolinera LowCost,42.74,NB,1973-09-06,Ceuta
401ba90bce12ad1,2025-05-20,Transporte,Iberia,77.49,F,1950-03-31,Badajoz
96bdbf358ce633f,2025-03-03,Hogar,PcComponentes,42.58,NB,1982-01-28,Navarra
32277a54b12f82f,2025-06-21,Alimentación,Frutería de Barrio,49.21,F,1977-01-03,Valladolid
283911ad9972c4e,2025-04-15,Alimentación,EROSKI,169.52,NB,1990-10-01,Cantabria
e0db4323b89b9ee,2025-08-15,Moda,Mango,,NB,1955-03-01,Teruel
57d9d3c022e6407,2025-11-01,100 Montaditos,restauración,42.41,NB,1986-05-15,Granada
341089d329f17d5,2025-06-07,Alimentación,Hipercor,155.5,NB,1971-07-25,Albacete
1e9fd4e90723556,2025-04-07,Moda,Stradivarius,46.78,NB,1972-07-07,Baleares
66d24680cda00ca,2025-11-29,,Ballenoil,27.93,NB,1982-06-21,Segovia
b83cc86c177ab99,2025-07-16,Gasolineras,GASOLINERA LOWCOST,23.21,F,1960-01-07,Ávila
ac49ca7a8f79bcf,2025-07-01,Gasolineras,Gasolinera LowCost,19.64,NB,1966-04-11,Cuenca
d725c4585903a83,2025-04-01,Alimentación,Lidl,74.06,M,1986-04-11,Girona
039f58156622ce1,2025-09-12,Hogar,IKEA,745.47,F,1997-02-18,Teruel
de7a2ea3195b213,2025-02-17,Repsol,Gasolineras,50.69,NB,1999-10-03,Cádiz
8a2fe74098d769c,2025-06-13,Restauración,Rodilla,63.93,M,1964-04-27,Valencia
b9b8bb814c87bee,2025-10-28,Alimentación,Carrefour,176.33,F,1962-03-18,Burgos
d9eb752ab9e55a2,2025-03-25,Restauración,Kebab,45.25,F,1967-09-02,Castellón
d7c9bd88cd9e52b,2025-07-02,Gasolineras, Repsol ,49.23,M,1978-11-28,Barcelona
f420fdbe193b75a,2025-03-23,Hogar,Amazon,20.66,NB,1974-06-13,Madrid
8a2fe74098d769c,2025-05-30,Transporte,Ryanair,9.54,M,1964-04-27,Valencia
73abbe7cf432bd5,2025-11-24,Ocio,Netflix,6.7,M,2005-06-04,Cádiz
11244b04bd58229,2025-08-15,Restauración,Rodilla,80.2,NB,1974-05-11,Burgos
ddc4f885b2d6fc9,2025-05-04,Hogar,Leroy Merlin,36.12,M,1971-10-17,Ávila
79e691d18a4d7e2,2025-07-01,,Modas Paqui,34.86,M,1990-01-03,Lugo
263424eac7385a8,2025-04-04,Alimentación,Eroski,157.81,M,1998-02-08,Cuenca
c9721d509864de9,2025-06-10,Transporte,Renfe,676.26,F,1997-01-12,Soria
b545f5c9ee26a6b,2025-08-07,Transporte,Ryanair,70.03,M,1998-08-25,Málaga
a3fb881905451a8,2025-03-03,Moda,Pull&Bear,39.24,NB,1991-12-09,La Coruña
5f1f0fb2d877ba9,11/08/2025,Alimentación,Hipercor,99.0,M,1995-07-19,Lleida
c84122dca5669e2,2025-09-15,Gasolineras,Galp,77.84,NB,1986-05-31,Córdoba
dc6965550e58a83,2025-11-30,,100 Montaditos,64.35,M,1976-03-01,Valladolid
d63d0c8e32335af,2025-06-16,Ocio,Cinesa,70.31,F,1995-02-16,Guadalajara
62d676d312b86e7,2025-07-02,Alimentación,Carrefour,113.1,M,1972-01-29,Jaén
5d1bcbd5496590a,2025-04-06,Moda, H&M ,80.14,M,1964-07-04,Burgos
30960c45b0c91c6,2025-11-11,Restauración,Burger King,40.95,NB,1985-06-12,Cuenca
e4528b85f66cc09,2025-10-06,Alimentación,Frutería de Barrio,79.98,NB,1963-11-28,Vizcaya
6c876abb45f8b51,2025-09-11,Transporte,Renfe,769.26,M,1967-12-25,Tarragona
50d15e139a7c782,03/06/2025,Salud,MiFarma,25.69,M,1975-07-17,Cáceres
274514d75443f8f,2025-10-21,Transporte,Cabify,12.3,NB,1975-03-14,Cádiz
09ba3ba39eb7ded,2025-08-03,Transporte,Cabify,32.11,F,1983-04-05,León
4511e79dbc3d01f,2025-10-19,Salud,Adeslas,5.43,M,2004-03-17,Murcia
94fb989cf005203,2025-11-06,Salud,Dentista,43.05,NB,2000-08-22,Castellón
147a7d59901e031,2025-05-12,Gasolineras,Shell,20.1,NB,1988-06-08,Guipúzcoa
8c8507f3d287c77,2025-05-28,Moda,Stradivarius,84.3,NB,1968-09-08,Valladolid
e12fb1a38898f94,2025-03-28,Gasolineras,Galp,78.1,NB,1969-06-20,Tarragona
2ae7ff3ee16c409,2025-10-12,Gasolineras,Plenoil,20.21,M,2003-12-05,Málaga
10000983b4a30de,2025-05-05,Ocio,Teatro,55.93,M,1978-09-26,Tarragona
aeb8ab83e06aa53,2025-04-21,Moda, El Corte Inglés ,51.32,NB,1982-11-28,Cuenca
1c2f2dd203e53bf,2025-09-21,,Ocio,,F,1998-12-14,Granada
9a68ca3c075f1b2,2025-06-15,Restauración,Rodilla,9.29,NB,2004-01-30,Alicante
cfe2083cce84209,2025-12-01,Salud,Farmacia,87.74,F,1957-07-19,Madrid
c6645b2cf12c084,2025-12-14,Alimentación,carrefour,171.39,M,1991-03-09,Guadalajara
f5a66c33a8b21b7,2025-02-09,,Spotify,44.37,F,1980-04-05,Soria
0bba63aaacb6c4c,2025-03-25,Gasolineras,Shell,86.73,M,1974-07-16,Vizcaya
bfb559ad618b921,2024-12-21,Transporte,Taxi,40.0,M,1982-03-16,Granada
3e263465c1dde77,2025-06-17,Restauración,Bar Manolo,38.73,M,1973-05-31,Guadalajara
ca76ad8697d82a7,2025-10-19,Gasolineras,Ballenoil,26.2,NB,1966-05-20,Cáceres
1084a1d860f494f,11/10/2025,Moda,Zara,76.1,F,1953-10-03,Castellón
1cf9182dd144029,2025-09-19,Hogar,PcComponentes,47.0,NB,1987-12-14,Tarragona
65428d94afaf8bc,2025-02-24,Transporte,Metro Madrid,20.59,F,1950-02-21,Valladolid
e722d9ca8fbd9a7,2024-12-22,Ocio,Museo,40.57,F,1978-09-04,Lugo
b80ed6cf671e1f3,2025-12-06,, Spotify ,86.67,M,2003-05-04,Madrid
533e89a44b38a54,2025-02-23,Hogar,IKEA,636.71,F,1998-02-14,Ourense
83385ca3a581ab0,2025-08-18,Moda,Primark,14.79,F,1964-05-21,Córdoba
31f693164f262d9,2025-01-18,Restauración,STARBUCKS,84.68,M,1986-03-08,Palencia
61292e69b825299,2025-05-07,Ocio,PLAYSTATION,73.6,NB,1966-12-15,Soria
c76265acd6b42b0,2025-09-25,Alimentación, Aldi ,69.93,M,1996-10-27,Zamora
6b5aca61bebf330,2025-07-18,Moda,El Corte Inglés,,NB,1968-06-13,Soria
deb6e073e12736b,2025-07-10,Gasolineras,shell,56.13,M,2005-03-08,Cádiz
c46f6ee1657c737,2025-11-04,Hogar,Amazon,12.36,M,1983-11-26,Valladolid
655bcbcca81fe04,2025-03-10,Hogar,Amazon S.L.,78.41,NB,1994-06-12,Cantabria
6f31e7d2f0469cf,2025-09-22,Hogar,MediaMarkt,79.94,NB,1969-12-29,Toledo
8502a51af15c85b,2025-03-11,Transporte,Cabify,24.25,M,2006-06-27,Granada
dff68dc0cbfbc65,2025-06-27,Transporte,Iberia,578.54,F,1951-10-27,Valencia
f8e268d3a5a8781,2025-04-21,Ocio, Spotify ,44.85,NB,1989-09-25,Álava
c29501a6f139bc1,2025-06-21,Gasolineras,Gasolinera LowCost,48.96,NB,1990-02-20,Zamora
36cef82bbee7690,2025-08-17,Transporte,Taxi,55.64,F,1998-01-20,Pontevedra
82e002a3d96d69e,2025-11-28,Moda,Stradivarius,18.46,F,1959-08-19,Almería
90a152620697adc,2025-08-24,Transporte,Bicimad,9.34,F,1983-05-04,Guadalajara
e810bfaaef9089c,2025-11-24,Restauración,Burger King,15.14,M,1978-12-09,Salamanca
b3265a52df3226c,2025-04-08,Salud,Farmacia,45.29,NB,2007-04-14,Málaga
00f898c47217e41,2025-07-17,Restauración,Burger King,82.61,M,1978-05-26,Castellón
b1e622005a0a1f7,2025-09-06,Gasolineras,REPSOL,67.58,F,1957-07-27,Málaga
3852bf423b5b180,2025-03-17,Ocio,Cinesa,20.43,F,1977-10-12,Melilla
f3aa3bf717f1233,2025-05-10,Hogar,IKEA,408.1,F,1954-02-18,Segovia
1d496a99cf83981,2025-01-22,Restauración,Burger King,44.12,NB,1977-07-16,Guipúzcoa
ed6dec0a48c7d34,2025-09-30,Metro Madrid,Transporte,28.9,F,1982-12-05,Cáceres
25ab0f6860930d9,2025-02-08,Hogar,IKEA,116.81,F,1960-08-10,Huesca
2544a01776fef67,2025-09-06,Primark,Moda,23.95,NB,2006-03-11,Ourense
561a1f2b10c622b,2025-06-18,Hogar,IKEA,399.51,M,1969-10-29,Almería
c62fde874dbf5fd,2024-12-15,Gasolineras,Ballenoil,76.46,NB,1959-04-26,Málaga
9b7068c14c19837,2025-06-10,Transporte,Bicimad,68.01,F,2003-12-19,Barcelona
b64d954090cb657,2025-08-10,Ocio,Netflix S.L.,69.86,M,1997-09-21,Toledo
9e6c83abb4b7ee3,08/11/2025,Transporte,Taxi,19.73,F,1958-01-01,Burgos
88c0ce0acc852be,2025-05-17,Transporte,Uber S.L.,6.97,M,1990-08-16,Zaragoza
150e70c83030a33,2025-06-04,Transporte,Iberia,571.68,F,1957-10-31,Toledo
dbc3e0b61b06f96,2025-10-11,Restauración,McDonalds S.L.,62.62,F,1989-05-10,Cáceres
3f4590aadc3fdbf,2025-06-21,Moda,Modas Paqui,62.09,NB,1958-05-13,Zaragoza
7a1a5d19bfbe660,2025-10-17,Salud,dentista,6.69,M,1989-04-25,Albacete
a5242ffac6494f6,2025-04-14,Gasolineras,Repsol,47.52,NB,1993-07-18,Santa Cruz de Tenerife
11bca73df0d4784,2025-02-04,Hogar,IKEA,242.78,NB,1978-05-04,Ourense
a0be66bc1007516,2025-12-14,Alimentación,hipercor,43.02,NB,1967-07-21,Guipúzcoa
772279dcd2b5d47,2025-04-29,Ocio,PlayStation,60.69,M,1973-03-02,Ceuta
c5e2716a16b9860,2025-10-05,Gasolineras,Ballenoil,67.22,NB,2002-02-08,Málaga
eb34c54dc8e87e9,2025-01-10,Moda,Mango,80.44,F,2006-12-21,Cádiz
3af275dfaababf9,2025-02-16,Restauración,Starbucks,48.17,NB,1987-07-23,Badajoz
a1e79eef746960a,2025-07-12,Transporte,iberia,773.75,NB,1966-11-21,León
d78b6be99382713,2025-01-08,Hogar,IKEA,563.87,F,2005-12-26,Castellón
a048a344311bc0c,2025-06-03,Hogar,IKEA,783.33,NB,1950-12-02,Melilla
c52a3a01a04d8ca,2025-08-13,Moda,H&M,85.84,NB,1971-10-16,Lleida
88e2a9251558722,2025-08-07,Restauración,Kebab,71.58,F,1980-12-22,Salamanca
b9981b396afc078,2025-11-11,Moda,Modas Paqui,58.79,M,1987-09-10,Soria
67d5ce75b5f6aab,2025-09-03,,Farmacia,33.18,M,1978-06-24,Cuenca
406ba282e4d6dab,2025-09-10,Transporte, Iberia ,755.81,M,1976-06-18,Córdoba
8c43ad4f7aaee2a,2025-03-31,Transporte, EMT ,88.92,M,1991-10-03,La Coruña
46952fbddef0504,2025-07-12,Ocio,YELMO CINES,37.84,NB,1994-01-31,Córdoba
7266c2eb75361d3,2025-09-17,Transporte,alsa,45.2,F,1979-04-23,Ciudad
fd677833b9b254b,2025-04-16,Ocio,Cinesa,56.43,M,1983-02-19,Baleares
b6fbb6fe458d544,2025-07-09,Ocio,PlayStation,14.37,NB,2002-02-24,Zaragoza
0d1dc05b411f1e1,2025-08-10,Gasolineras,Repsol,64.59,M,1978-07-08,Segovia
fb8f7ec2faa1760,2025-09-04,,GALP,44.8,M,1970-07-30,Toledo
17c1b1105e69205,2025-10-04,,Leroy Merlin,57.73,F,1955-04-22,Asturias
6a7f156cc3a7899,12/10/2025,Restauración,Vips,24.27,F,1961-10-19,Salamanca
08901e7fbfd03de,2025-03-21,Hogar,Leroy Merlin S.L.,66.3,M,1999-07-31,Cáceres
4f2e430a4e2605a,2025-03-17,Moda,PULL&BEAR,41.34,NB,1994-12-19,Badajoz
f4314ac2ff98837,2025-04-09,,Cinesa,16.72,NB,1966-02-02,Palencia
1dd8a46027aaf26,2025-01-07,Moda,Pull&Bear,57.76,F,1963-09-08,Cádiz
e0b7b8b538f15c8,2025-09-27,Transporte,Uber,76.23,NB,1991-12-18,Soria
5f76db23b69a2f5,2025-03-30,Restauración,Starbucks,43.6,F,1958-12-26,Valencia
a152d53e54bc757,2025-04-30,Gasolineras,Cepsa,37.02,F,2001-04-20,Asturias
387c7eb2131448c,2025-06-06,Alimentación,Hipercor,29.16,NB,1967-08-21,Córdoba
7d8e27a53b5252d,2025-09-02,,Gasolinera LowCost,53.61,NB,2007-09-11,Valencia
dcb642cd108fa0d,2025-10-03,Moda,El Corte Inglés,64.23,M,1980-03-05,León
2d1de945e365def,2025-04-17,Transporte,Bicimad,17.97,F,1963-08-26,Córdoba
1c7713e461fb61f,2025-11-24,Alimentación,Supermercado Local,110.61,NB,1984-12-16,Granada
514a6fcbab9e5ce,2025-05-22,Hogar,PcComponentes,6.94,M,1970-08-22,Madrid
a260d56e76ad916,2025-04-28,Salud,MiFarma,36.84,F,1955-03-22,Navarra
e0676076d52b8f7,2025-04-30,Gasolineras,BP,46.88,M,1959-09-11,Valladolid
da41977d1ac373d,2025-06-23,Salud,adeslas,22.1,F,1963-09-04,Sevilla
088ddbb36218eb8,2025-06-20,Transporte, Taxi ,71.93,F,1957-11-26,Valencia
2f4988be24c1e25,2025-04-12,Restauración,Bar Manolo,65.46,NB,1969-10-22,Sevilla
7ca1e507104f7f2,2025-07-30,Salud,Sanitas,8.01,NB,1999-07-12,Pontevedra
c630e4392a230e3,2025-04-26,Restauración,McDonalds,,F,1983-01-26,Málaga
07154d4cfb9c847,2025-01-03,Gasolineras,Repsol,16.76,F,2001-04-02,Jaén
ddad7549d5cc120,2025-01-16,Hogar,IKEA,188.75,F,2000-11-15,Barcelona
d79d3f768bb8095,14/09/2025,Ocio,Steam,65.05,F,1981-09-01,Jaén
6f3cbbe4938c640,2025-09-29,Ocio,Netflix,65.4,NB,1999-10-02,Córdoba
57d82ea0a0c0ebb,2025-05-03,Salud,Sanitas,88.76,F,1951-05-20,Jaén
0c806e74c0540d9,2025-04-08,Ocio,Cinesa,56.42,M,1987-04-09,Ourense
073233fa0415849,2025-06-08,Gasolineras,CEPSA,37.33,M,1990-08-27,Ávila
588f4dc195449d9,27/10/2025,Ocio,Steam,47.92,NB,1982-09-23,Navarra
1b3861006846f1f,2025-06-22,Ocio, Yelmo Cines ,82.58,F,1956-12-27,Asturias
2905218fad051d0,2025-02-04,Transporte,Bicimad,55.56,M,1968-08-21,Cádiz
0e3089cd18c583d,2025-01-19,Restauración,Burger King,47.93,M,1974-07-15,Burgos
ac64118a9f06c27,2025-06-08,Ocio,PlayStation,82.32,M,1996-05-04,Burgos
552b9f398d24795,2025-05-21,Ocio,Steam,58.37,F,1955-04-29,Toledo
4afeee7fd028dc1,2025-06-07,Gasolineras,Ballenoil,54.03,NB,1957-12-26,Barcelona
3ca221dc6487506,2025-03-24,Alimentación,Aldi,97.99,F,1973-12-25,Sevilla
6477e74129ca7b6,2025-02-20,Transporte,Iberia,247.14,NB,1976-02-20,Vizcaya
94471677d13753c,2025-04-08,Hogar,MediaMarkt,44.94,NB,1990-06-30,Badajoz
11bca73df0d4784,2025-09-26,Alimentación,Eroski,171.62,NB,1978-05-04,Ourense
d2ce7178e23981b,2025-09-29,Restauración,Telepizza,28.02,F,1952-09-21,Sevilla
27b821f061bdd3e,2025-05-29,Gasolineras,Ballenoil,21.06,NB,1955-02-23,Cáceres
72da1abff7b8cfa,2025-03-17,Hogar,PcComponentes,50.24,NB,1973-02-05,Ourense
79094be9326fe5d,2025-05-22,,Dentista,37.85,M,1970-11-09,La Rioja
841623c17b993b2,2025-09-28,Transporte,Bicimad,44.29,NB,1987-04-02,La Coruña
00a280eee776313,2025-01-29,Moda,H&M,84.92,M,1968-09-03,Badajoz
311f1121ae470bd,2025-12-03,Transporte,Alsa,41.76,NB,2003-05-21,Toledo
c056a12217b25f0,2025-11-01,Ocio,Teatro,69.06,F,1984-04-19,Las Palmas
14ab0f2a4cabc7a,2025-09-25,Alimentación,Carrefour,177.48,NB,1989-10-20,Soria
57d82ea0a0c0ebb,2025-06-15,Transporte,Renfe S.L.,194.84,F,1951-05-20,Jaén
df4400df6998600,2025-01-14,Hogar,Leroy Merlin,48.86,M,1993-05-12,Madrid
97b0ca5e8e6f590,2024-12-16,Alimentación,Dia,98.68,NB,1979-04-02,Vizcaya
